slug,company,company_name_full,report_year,source_md,status,error_stage,error_message,rebuild_index,top_k_requested,w_bm25,w_emb,n_queries,n_index_chunks,n_retrieved_chunks,index_elapsed_s,retrieval_elapsed_s,extraction_elapsed_sum_s,doc_total_elapsed_s,n_llm_calls_ok_x,n_llm_calls_error,coverage_ratio,topk_capped,retrieved_all_chunks,llm_total_elapsed_sum_s,total_prompt_tokens_api_sum,total_completion_tokens_api_sum,total_tokens_api_sum,mean_chunk_tokens_est,n_llm_calls_ok_y,n_rows_normalized_doc,mean_rows_per_retrieved_chunk,max_rows_single_chunk,mean_hybrid_score,mean_bm25_score_raw,mean_emb_score_raw,n_nonzero_chunks,share_nonzero_retrieved_chunks
hochtief_ag,HOCHTIEF AG,HOCHTIEF AG,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\hochtief_ag\2023\focused\hochtief_ag_2023_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,43,8,0.020303,0.617017,78.186594,80.882074,8,0,0.18604651162790697,True,False,78.186594,15425,4307,19732,1497.375,8,105,13.125,20,0.9103960618376732,17.23387908935547,0.6319220066070557,6,0.75
schneider_electric_se,SCHNEIDER ELECTRIC SE,SCHNEIDER ELECTRIC SE,2024,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\schneider_electric_se\2024\focused\schneider_electric_se_2024_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,11,8,0.019259,0.44196,70.787717,73.007055,8,0,0.7272727272727273,True,False,70.787717,12499,3536,16035,1141.875,8,82,10.25,19,0.6622699052095413,7.521559417247772,0.6372404173016548,6,0.75
eni_s_p_a,ENI S.P.A.,ENI S.P.A.,2024,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\eni_s_p_a\2024\focused\eni_s_p_a_2024_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,17,8,0.011055,0.338333,70.317822,72.328207,8,0,0.47058823529411764,True,False,70.317824,12329,3019,15348,1116.125,8,63,7.875,17,0.7831754386425018,10.575736701488495,0.5829097479581833,5,0.625
norma_group_se,NORMA Group SE,NORMA Group SE,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\norma_group_se\2023\focused\norma_group_se_2023_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,83,8,0.038664,1.056333,61.630875,64.71635,8,0,0.0963855421686747,True,False,61.630875,14148,2968,17116,1335.0,8,34,4.25,9,0.8471228629350662,23.890950083732605,0.570631418377161,6,0.75
k_s_aktiengesellschaft,K+S Aktiengesellschaft,K+S Aktiengesellschaft,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\k_s_aktiengesellschaft\2023\focused\k_s_aktiengesellschaft_2023_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,43,8,0.044228,0.82438,55.443855,58.312112,8,0,0.18604651162790697,True,False,55.443855,15037,1938,16975,1449.0,8,14,1.75,6,0.8346752375364304,16.71195662021637,0.6293946951627731,3,0.375
flughafen_wien_ag,Flughafen Wien AG,Flughafen Wien AG,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\flughafen_wien_ag\2023\focused\flughafen_wien_ag_2023_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,24,8,0.011184,0.437763,52.014761,54.289094,8,0,0.3333333333333333,True,False,52.014759999999995,13540,1905,15445,1271.125,8,25,3.125,9,0.6324341855943203,13.752310454845428,0.49945344030857086,4,0.5
vonovia_se,Vonovia SE,Vonovia SE,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\vonovia_se\2023\focused\vonovia_se_2023_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,28,8,0.022266,0.458013,51.805238,54.188243,8,0,0.2857142857142857,True,False,51.805237000000005,14065,2105,16170,1331.0,8,31,3.875,11,0.6889806911349297,14.749002933502197,0.5671286061406136,5,0.625
allianz_se,Allianz SE,Allianz SE,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\allianz_se\2023\focused\allianz_se_2023_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,48,8,0.024953,0.531158,49.225742,51.733197,8,0,0.16666666666666666,True,False,49.225743,12768,2116,14884,1187.25,8,34,4.25,16,0.7270558252930641,12.391619622707367,0.5202001854777336,4,0.5
grammer_aktiengesellschaft,Grammer Aktiengesellschaft,Grammer Aktiengesellschaft,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\grammer_aktiengesellschaft\2023\focused\grammer_aktiengesellschaft_2023_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,18,8,0.019928,0.42784,47.772038,50.085966,8,0,0.4444444444444444,True,False,47.772039,12581,1393,13974,1142.25,8,25,3.125,9,0.7852690480649471,13.300686120986938,0.5940044857561588,5,0.625
strabag_se,STRABAG SE,STRABAG SE,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\strabag_se\2023\focused\strabag_se_2023_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,21,8,0.013791,0.368591,47.277157,49.455158,8,0,0.38095238095238093,True,False,47.277157,13830,1965,15795,1297.0,8,53,6.625,20,0.7941310703754425,10.284763932228088,0.5839486941695213,5,0.625
bilfinger_se,Bilfinger SE,Bilfinger SE,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\bilfinger_se\2023\focused\bilfinger_se_2023_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,45,8,0.046778,0.655647,46.683505,49.353963,8,0,0.17777777777777778,True,False,46.683505,12514,1403,13917,1139.0,8,25,3.125,7,0.7969877868890762,16.832124829292297,0.5940058790147305,4,0.5
koninklijke_ahold_delhaize_n_v,KONINKLIJKE AHOLD DELHAIZE N.V.,KONINKLIJKE AHOLD DELHAIZE N.V.,2024,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\koninklijke_ahold_delhaize_n_v\2024\focused\koninklijke_ahold_delhaize_n_v_2024_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,8,8,0.017552,0.419984,46.077404,48.309391,8,0,1.0,False,True,46.077404,13281,1716,14997,1204.125,8,28,3.5,10,0.5319146417605225,5.942299373447895,0.5038908869028091,4,0.5
mtu_aero_engines_ag,MTU Aero Engines AG,MTU Aero Engines AG,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\mtu_aero_engines_ag\2023\focused\mtu_aero_engines_ag_2023_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,36,8,0.029706,0.640752,45.042761,47.62518,8,0,0.2222222222222222,True,False,45.042761999999996,12336,1368,13704,1107.5,8,23,2.875,8,0.8225475028157234,18.83004581928253,0.5906343385577202,4,0.5
friedrich_vorwerk_group_se,Friedrich Vorwerk Group SE,Friedrich Vorwerk Group SE,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\friedrich_vorwerk_group_se\2023\focused\friedrich_vorwerk_group_se_2023_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,12,8,0.005796,0.355275,44.907388,47.009338,8,0,0.6666666666666666,True,False,44.907386,13930,996,14926,1313.0,8,20,2.5,5,0.543443588539958,7.224289506673813,0.49583347514271736,4,0.5
heidelberg_materials_ag,Heidelberg Materials AG,Heidelberg Materials AG,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\heidelberg_materials_ag\2023\focused\heidelberg_materials_ag_2023_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,53,8,0.035941,0.726956,43.992934,46.691234,8,0,0.1509433962264151,True,False,43.992935,14091,1551,15642,1328.875,8,14,1.75,3,0.6560527458786964,17.6133474111557,0.58079032599926,6,0.75
sma_solar_technology_ag,SMA Solar Technology AG,SMA Solar Technology AG,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\sma_solar_technology_ag\2023\focused\sma_solar_technology_ag_2023_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,40,8,0.027561,0.641854,42.38442,44.956009,8,0,0.2,True,False,42.38442,11950,1291,13241,1058.875,8,24,3.0,4,0.8851208612322807,14.114128232002258,0.6142726764082909,8,1.0
fuchs_se,FUCHS SE,FUCHS SE,2024,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\fuchs_se\2024\focused\fuchs_se_2024_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,9,8,0.016693,0.355415,41.534847,43.641786,8,0,0.8888888888888888,True,False,41.534847,11450,1393,12843,1111.25,8,23,2.875,11,0.4692495735362172,4.646146088838577,0.5954347625374794,4,0.5
lanxess_ag,LANXESS AG,LANXESS AG,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\lanxess_ag\2023\focused\lanxess_ag_2023_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,24,8,0.035527,0.520393,40.289516,42.810036,8,0,0.3333333333333333,True,False,40.289517000000004,12405,1236,13641,1119.5,8,19,2.375,7,0.6857021935284138,10.590493738651276,0.5977929756045341,4,0.5
brenntag_se,Brenntag SE,Brenntag SE,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\brenntag_se\2023\focused\brenntag_se_2023_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,29,8,0.029124,0.44338,39.905464,42.224206,8,0,0.27586206896551724,True,False,39.905464,13090,976,14066,1204.5,8,15,1.875,12,0.6601531133055687,14.29870879650116,0.5563599057495594,4,0.5
evonik_industries_ag,Evonik Industries AG,Evonik Industries AG,2023,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\evonik_industries_ag\2023\focused\evonik_industries_ag_2023_taxonomy_focused.md,ok,,,False,8,0.65,0.35,17,43,8,0.020464,2.716757,37.649767,42.184946,8,0,0.18604651162790697,True,False,37.649768,13668,1145,14813,1282.625,8,18,2.25,6,0.6659409627318382,17.2470623254776,0.604308009147644,4,0.5
